Using TensorFlow backend.
episode: 0/100000 -> -117  	 slope: 0.000000	 epsilon: 1.000000
2019-04-13 16:22:44.784661: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-04-13 16:22:44.888321: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-04-13 16:22:44.888744: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.607
pciBusID: 0000:01:00.0
totalMemory: 10.91GiB freeMemory: 10.70GiB
2019-04-13 16:22:44.888754: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-04-13 16:22:45.152422: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-04-13 16:22:45.152448: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-04-13 16:22:45.152453: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-04-13 16:22:45.152705: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10346 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
checkpoint
episode: 211/100000 -> -6  	 slope: 0.007934	 epsilon: 1.000000
episode: 212/100000 -> -6  	 slope: 0.016355	 epsilon: 1.000000
episode: 213/100000 -> 0  	 slope: 0.024627	 epsilon: 1.000000
episode: 214/100000 -> -95  	 slope: 0.033530	 epsilon: 1.000000
episode: 215/100000 -> -101  	 slope: 0.030050	 epsilon: 1.000000
episode: 216/100000 -> -98  	 slope: 0.025888	 epsilon: 1.000000
episode: 217/100000 -> -113  	 slope: 0.022131	 epsilon: 1.000000
episode: 218/100000 -> -5  	 slope: 0.016714	 epsilon: 1.000000
episode: 219/100000 -> -97  	 slope: 0.024614	 epsilon: 1.000000
episode: 220/100000 -> -8  	 slope: 0.021184	 epsilon: 1.000000
episode: 221/100000 -> -113  	 slope: 0.028420	 epsilon: 1.000000
episode: 222/100000 -> -112  	 slope: 0.023003	 epsilon: 1.000000
episode: 223/100000 -> -97  	 slope: 0.017905	 epsilon: 1.000000
episode: 224/100000 -> -111  	 slope: 0.014626	 epsilon: 1.000000
episode: 225/100000 -> -96  	 slope: 0.009794	 epsilon: 1.000000
episode: 226/100000 -> -112  	 slope: 0.006901	 epsilon: 1.000000
episode: 227/100000 -> 1  	 slope: 0.002224	 epsilon: 1.000000
episode: 228/100000 -> -116  	 slope: 0.010531	 epsilon: 1.000000
episode: 229/100000 -> 0  	 slope: 0.005409	 epsilon: 1.000000
episode: 230/100000 -> -111  	 slope: 0.013349	 epsilon: 1.000000
episode: 231/100000 -> -113  	 slope: 0.008807	 epsilon: 1.000000
episode: 232/100000 -> -113  	 slope: 0.004142	 epsilon: 1.000000
episode: 233/100000 -> -5  	 slope: -0.000360	 epsilon: 1.000000
episode: 234/100000 -> -2  	 slope: 0.006813	 epsilon: 1.000000
episode: 235/100000 -> -112  	 slope: 0.014166	 epsilon: 1.000000
episode: 236/100000 -> 0  	 slope: 0.009685	 epsilon: 1.000000
episode: 237/100000 -> -113  	 slope: 0.016997	 epsilon: 1.000000
